"District({""constraints"":[],""type"":""STRING"",""dataSize"":50,""dataSizeAuto"":false})","Location({""constraints"":[],""type"":""POINT"",""srsId"":4326})","Name({""constraints"":[],""type"":""STRING"",""dataSize"":50,""dataSizeAuto"":false})","Population({""constraints"":[],""type"":""INT""})","objectId({""constraints"":[],""type"":""STRING_ID"",""dataSize"":36})","ownerId({""constraints"":[],""type"":""STRING"",""dataSize"":36,""dataSizeAuto"":true})","created({""constraints"":[],""type"":""DATETIME""})","updated({""constraints"":[],""type"":""DATETIME""})","Country({""constraints"":[],""type"":""RELATION"",""autoLoad"":false,""relatedTable"":""Country""})"
"Kabol","POINT(69.1833 34.5167)","Kabul",1780000,"1",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:00.000Z","AFG"
"Entre Rios","POINT(-60.5333 -31.7333)","Paraná",207041,"100",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:01.000Z","ARG"
"Central Java","POINT(110.4901 -7.3095)","Salatiga",103000,"1005",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:03.000Z","IDN"
"East Java","POINT(112.43 -7.4696)","Mojokerto",96626,"1008",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:04.000Z","IDN"
"Sulawesi Tenggara","POINT(122.5973 -3.9553)","Kendari",94800,"1012",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:06.000Z","IDN"
"Sulawesi Utara","POINT(123.07 0.55)","Gorontalo",94058,"1014",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:07.000Z","IDN"
"Misiones","POINT(-55.8851 -27.3578)","Posadas",201273,"102",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:09.000Z","ARG"
"East Java","POINT(114.3696 -8.195)","Banyuwangi",89900,"1022",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:09.000Z","IDN"
"Delhi","POINT(77.23 28.67)","Delhi",7206704,"1025",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:10.000Z","IND"
"Andhra Pradesh","POINT(68.375 25.38)","Hyderabad",2964638,"1028",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:11.000Z","IND"
"Gujarat","POINT(72.58 23.0301)","Ahmedabad",2876710,"1029",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:11.000Z","IND"
"Karnataka","POINT(77.56 12.97)","Bangalore",2660088,"1030",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:12.000Z","IND"
"Uttar Pradesh","POINT(80.32 26.46)","Kanpur",1874409,"1031",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:13.000Z","IND"
"Maharashtra","POINT(79.09 21.17)","Nagpur",1624752,"1032",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:13.000Z","IND"
"Uttar Pradesh","POINT(80.915 26.855)","Lucknow",1619115,"1033",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:14.000Z","IND"
"Maharashtra","POINT(73.85 18.53)","Pune",1566651,"1034",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:14.000Z","IND"
"Gujarat","POINT(72.84 21.2)","Surat",1498817,"1035",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:15.000Z","IND"
"Rajasthan","POINT(75.81 26.9211)","Jaipur",1458483,"1036",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:15.000Z","IND"
"Madhya Pradesh","POINT(75.865 22.7151)","Indore",1091674,"1037",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:15.000Z","IND"
"Madhya Pradesh","POINT(77.41 23.25)","Bhopal",1062771,"1038",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:16.000Z","IND"
"Punjab","POINT(75.8723 30.9278)","Ludhiana",1042740,"1039",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:17.000Z","IND"
"Santiago del Estero","POINT(-64.2667 -27.7833)","Santiago del Estero",189947,"104",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:17.000Z","ARG"
"Maharashtra","POINT(73.1602 19.2502)","Kalyan",1014557,"1041",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:18.000Z","IND"
"Tamil Nadu","POINT(78.12 9.92)","Madurai",977856,"1042",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:18.000Z","IND"
"Bihar","POINT(85.13 25.625)","Patna",917243,"1045",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:19.000Z","IND"
"Jammu and Kashmir","POINT(74.815 34.1)","Srinagar",892506,"1046",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:19.000Z","IND"
"Uttar Pradesh","POINT(78.015 27.1704)","Agra",891790,"1047",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:20.000Z","IND"
"Tamil Nadu","POINT(76.95 11)","Coimbatore",816321,"1048",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:21.000Z","IND"
"Jujuy","POINT(-65.3 -24.1833)","San Salvador de Jujuy",178748,"105",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:21.000Z","ARG"
"Uttar Pradesh","POINT(81.84 25.455)","Allahabad",792858,"1050",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:22.000Z","IND"
"Uttar Pradesh","POINT(77.7 29.0004)","Meerut",753778,"1051",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:22.000Z","IND"
"Andhra Pradesh","POINT(83.305 17.73)","Vishakhapatnam",752037,"1052",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:22.000Z","IND"
"Madhya Pradesh","POINT(79.9551 23.1751)","Jabalpur",741927,"1053",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:23.000Z","IND"
"Punjab","POINT(74.87 31.64)","Amritsar",708835,"1054",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:23.000Z","IND"
"Haryana","POINT(77.3167 28.4333)","Faridabad",703592,"1055",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:24.000Z","IND"
"Andhra Pradesh","POINT(80.63 16.52)","Vijayawada",701827,"1056",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:24.000Z","IND"
"Madhya Pradesh","POINT(78.1801 26.23)","Gwalior",690765,"1057",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:25.000Z","IND"
"Rajasthan","POINT(73.0168 26.2918)","Jodhpur",666279,"1058",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:25.000Z","IND"
"Jharkhand","POINT(85.33 23.37)","Ranchi",599306,"1062",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:26.000Z","IND"
"Uttar Pradesh","POINT(79.42 28.3454)","Bareilly",587211,"1063",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:27.000Z","IND"
"Gujarat","POINT(70.8 22.31)","Rajkot",559407,"1067",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:28.000Z","IND"
"Rajasthan","POINT(75.835 25.18)","Kota",537371,"1068",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:29.000Z","IND"
"Neuquén","POINT(-68.06 -38.95)","Neuquén",167296,"107",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:29.000Z","ARG"
"Uttar Pradesh","POINT(83.38 26.7504)","Gorakhpur",505566,"1072",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:30.000Z","IND"
"Chandigarh","POINT(76.78 30.72)","Chandigarh",504094,"1073",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:31.000Z","IND"
"Karnataka","POINT(76.66 12.31)","Mysore",480692,"1074",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:31.000Z","IND"
"Uttar Pradesh","POINT(78.0618 27.8922)","Aligarh",480520,"1075",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:32.000Z","IND"
"Andhra Pradesh","POINT(80.45 16.33)","Guntur",471051,"1076",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:32.000Z","IND"
"Jharkhand","POINT(86.1975 22.7875)","Jamshedpur",460577,"1077",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:33.000Z","IND"
"Uttar Pradesh","POINT(77.4084 28.6604)","Ghaziabad",454156,"1078",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:34.000Z","IND"
"Andhra Pradesh","POINT(79.58 18.01)","Warangal",447657,"1079",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:34.000Z","IND"
"Chhatisgarh","POINT(81.635 21.235)","Raipur",438639,"1080",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:35.000Z","IND"
"Uttar Pradesh","POINT(78.7568 28.8418)","Moradabad",429214,"1081",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:36.000Z","IND"
"Maharashtra","POINT(77.77 20.95)","Amravati",421576,"1083",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:36.000Z","IND"
"Rajasthan","POINT(73.3299 28.0304)","Bikaner",416289,"1085",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:37.000Z","IND"
"Maharashtra","POINT(74.22 16.7)","Kolhapur",406370,"1087",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:38.000Z","IND"
"Rajasthan","POINT(74.64 26.45)","Ajmer",402700,"1089",null,"2020-03-13T21:53:53.000Z","2020-07-11T04:00:16.000Z","IND"
"Buenos Aires","POINT(-98.16 24.8504)","San Fernando",153036,"109",null,"2020-03-13T21:53:53.000Z","2020-07-11T04:00:16.000Z","ARG"
"Gujarat","POINT(72.13 21.7784)","Bhavnagar",402338,"1090",null,"2020-03-13T21:53:53.000Z","2020-07-11T04:00:17.000Z","IND"
"Chhatisgarh","POINT(81.4333 21.2167)","Bhilai",386159,"1092",null,"2020-03-13T21:53:53.000Z","2020-07-11T04:00:18.000Z","IND"
"Maharashtra","POINT(73.13 19.35)","Bhiwandi",379070,"1093",null,"2020-03-13T21:53:53.000Z","2020-07-11T04:00:18.000Z","IND"
"Uttar Pradesh","POINT(77.55 29.97)","Saharanpur",374945,"1094",null,"2020-03-13T21:53:53.000Z","2020-07-11T04:00:19.000Z","IND"
"Tamil Nadu","POINT(78.1801 11.67)","Salem",366712,"1096",null,"2020-03-13T21:53:53.000Z","2020-07-11T04:00:19.000Z","IND"
"Madhya Pradesh","POINT(75.79 23.1904)","Ujjain",362266,"1097",null,"2020-03-13T21:53:53.000Z","2020-07-11T04:00:20.000Z","IND"
"Maharashtra","POINT(74.525 20.5604)","Malegaon",342595,"1098",null,"2020-03-13T21:53:53.000Z","2020-07-11T04:00:20.000Z","IND"
"Groningen","POINT(6.58 53.2204)","Groningen",172701,"11",null,"2020-03-13T21:53:53.000Z","2020-07-11T04:00:21.000Z","NLD"
"Formosa","POINT(-58.1828 -26.1728)","Formosa",147636,"110",null,"2020-03-13T21:53:53.000Z","2020-07-11T04:00:22.000Z","ARG"
"Maharashtra","POINT(77.01 20.71)","Akola",328034,"1101",null,"2020-03-13T21:53:53.000Z","2020-07-11T04:00:22.000Z","IND"
"Karnataka","POINT(74.505 15.865)","Belgaum",326399,"1102",null,"2020-03-13T21:53:53.000Z","2020-07-11T04:00:23.000Z","IND"
"Andhra Pradesh","POINT(81.79 17.0303)","Rajahmundry",324851,"1103",null,"2020-03-13T21:53:53.000Z","2020-07-11T04:00:23.000Z","IND"
"Andhra Pradesh","POINT(79.9899 14.44)","Nellore",316606,"1104",null,"2020-03-13T21:53:53.000Z","2020-07-11T04:00:24.000Z","IND"
"Rajasthan","POINT(73.73 24.6)","Udaipur",308571,"1105",null,"2020-03-13T21:53:53.000Z","2020-07-11T04:00:24.000Z","IND"
"West Bengali","POINT(88.52 22.8504)","Bhatpara",304952,"1107",null,"2020-03-13T21:53:53.000Z","2020-07-11T04:00:25.000Z","IND"
"Karnataka","POINT(76.82 17.35)","Gulbarga",304099,"1108",null,"2020-03-13T21:53:53.000Z","2020-07-11T04:00:26.000Z","IND"
"Delhi","POINT(77.2 28.6)","New Delhi",301297,"1109",null,"2020-03-13T21:53:53.000Z","2020-07-11T04:00:26.000Z","IND"
"Mendoza","POINT(-68.8017 -32.825)","Las Heras",145823,"111",null,"2020-03-13T21:53:53.000Z","2020-07-11T04:00:27.000Z","ARG"
"Uttar Pradesh","POINT(78.5575 25.453)","Jhansi",300850,"1110",null,"2020-03-13T21:53:53.000Z","2020-07-11T04:00:28.000Z","IND"
"Bihar","POINT(85 24.8)","Gaya",291675,"1111",null,"2020-03-13T21:53:53.000Z","2020-07-11T04:00:28.000Z","IND"
"Andhra Pradesh","POINT(82.2375 16.9675)","Kakinada",279980,"1112",null,"2020-03-13T21:53:53.000Z","2020-07-11T04:00:28.000Z","IND"
"Karnataka","POINT(74.85 12.9)","Mangalore",273304,"1116",null,"2020-03-13T21:53:53.000Z","2020-07-11T04:00:29.000Z","IND"
"Uttaranchal","POINT(78.05 30.3204)","Dehra Dun",270159,"1117",null,"2020-03-13T21:53:53.000Z","2020-07-11T04:00:30.000Z","IND"
"Karnataka","POINT(75.92 14.47)","Davangere",266082,"1119",null,"2020-03-13T21:53:53.000Z","2020-07-11T04:00:30.000Z","IND"
"La Rioja","POINT(-66.85 -29.41)","La Rioja",138117,"112",null,"2020-03-13T21:53:53.000Z","2020-07-11T04:00:31.000Z","ARG"
"West Bengali","POINT(86.9833 23.6833)","Asansol",262188,"1120",null,"2020-03-13T21:53:53.000Z","2020-07-11T04:00:32.000Z","IND"
"Bihar","POINT(86.98 25.23)","Bhagalpur",253225,"1121",null,"2020-03-13T21:53:53.000Z","2020-07-11T04:00:32.000Z","IND"
"Karnataka","POINT(76.915 15.15)","Bellary",245391,"1122",null,"2020-03-13T21:53:53.000Z","2020-07-11T04:00:33.000Z","IND"
"Uttar Pradesh","POINT(79.025 28.8154)","Rampur",243742,"1124",null,"2020-03-13T21:53:53.000Z","2020-07-11T04:00:34.000Z","IND"
"Bihar","POINT(85.3799 26.1204)","Muzaffarpur",241107,"1126",null,"2020-03-13T21:53:53.000Z","2020-07-11T04:00:34.000Z","IND"
"Andhra Pradesh","POINT(78.1 18.6704)","Nizamabad",241034,"1127",null,"2020-03-13T21:53:53.000Z","2020-07-11T04:00:35.000Z","IND"
"Uttar Pradesh","POINT(77.695 29.485)","Muzaffarnagar",240609,"1128",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:38.000Z","IND"
"Punjab","POINT(76.385 30.3204)","Patiala",238368,"1129",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:39.000Z","IND"
"Uttar Pradesh","POINT(79.905 27.8804)","Shahjahanpur",237713,"1130",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:40.000Z","IND"
"Andhra Pradesh","POINT(78.03 15.83)","Kurnool",236800,"1131",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:40.000Z","IND"
"Haryana","POINT(76.58 28.9)","Rohtak",233400,"1133",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:41.000Z","IND"
"Uttar Pradesh","POINT(77.67 27.5)","Mathura",226691,"1135",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:41.000Z","IND"
"Maharashtra","POINT(79.3 19.97)","Chandrapur",226105,"1136",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:41.000Z","IND"
"Córdoba","POINT(-64.35 -33.13)","Río Cuarto",134355,"114",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:43.000Z","ARG"
"Orissa","POINT(84.83 22.2304)","Raurkela",215489,"1140",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:43.000Z","IND"
"Haryana","POINT(76.97 29.4004)","Panipat",215218,"1142",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:44.000Z","IND"
"Uttar Pradesh","POINT(78.3949 27.15)","Firozabad",215128,"1143",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:44.000Z","IND"
"Jammu and Kashmir","POINT(74.8467 32.7118)","Jammu",214737,"1145",null,"2020-03-13T21:53:53.000Z","2020-07-11T03:58:45.000Z","IND"
