"Continent({""constraints"":[],""type"":""STRING"",""dataSize"":50,""dataSizeAuto"":false})","GNP({""constraints"":[],""type"":""DOUBLE""})","GovernmentForm({""constraints"":[],""type"":""STRING"",""dataSize"":50,""dataSizeAuto"":false})","HeadOfState({""constraints"":[],""type"":""STRING"",""dataSize"":50,""dataSizeAuto"":false})","IndepYear({""constraints"":[],""type"":""INT""})","LifeExpectancy({""constraints"":[],""type"":""DOUBLE""})","LocalName({""constraints"":[],""type"":""STRING"",""dataSize"":50,""dataSizeAuto"":false})","Name({""constraints"":[],""type"":""STRING"",""dataSize"":50,""dataSizeAuto"":false})","Population({""constraints"":[],""type"":""DOUBLE""})","Region({""constraints"":[],""type"":""STRING"",""dataSize"":50,""dataSizeAuto"":false})","SurfaceArea({""constraints"":[],""type"":""DOUBLE""})","objectId({""constraints"":[],""type"":""STRING_ID"",""dataSize"":36})","ownerId({""constraints"":[],""type"":""STRING"",""dataSize"":36,""dataSizeAuto"":true})","created({""constraints"":[],""type"":""DATETIME""})","updated({""constraints"":[],""type"":""DATETIME""})","Capital({""constraints"":[],""type"":""RELATION"",""autoLoad"":false,""relatedTable"":""City""})"
"North America",828.0,"Nonmetropolitan Territory of The Netherlands","Beatrix",null,78.4,"Aruba","Aruba",103000.0,"Caribbean",193.0,"ABW",null,"2020-03-13T21:53:52.000Z",null,"129"
"Asia",5976.0,"Islamic Emirate","Mohammad Omar",1919,45.9,"Afganistan/Afqanestan","Afghanistan",2.272E7,"Southern and Central Asia",652090.0,"AFG",null,"2020-03-13T21:53:52.000Z",null,"1"
"Africa",6648.0,"Republic","Jos̩ Eduardo dos Santos",1975,38.3,"Angola","Angola",1.2878E7,"Central Africa",1246700.0,"AGO",null,"2020-03-13T21:53:52.000Z",null,"56"
"North America",63.2,"Dependent Territory of the UK","Elisabeth II",null,76.1,"Anguilla","Anguilla",8000.0,"Caribbean",96.0,"AIA",null,"2020-03-13T21:53:52.000Z",null,"62"
"Europe",3205.0,"Republic","Rexhep Mejdani",1912,71.6,"Shqip��ria","Albania",3401200.0,"Southern Europe",28748.0,"ALB",null,"2020-03-13T21:53:52.000Z",null,"34"
"Europe",1630.0,"Parliamentary Coprincipality","",1278,83.5,"Andorra","Andorra",78000.0,"Southern Europe",468.0,"AND",null,"2020-03-13T21:53:52.000Z",null,"55"
"North America",1941.0,"Nonmetropolitan Territory of The Netherlands","Beatrix",null,74.7,"Nederlandse Antillen","Netherlands Antilles",217000.0,"Caribbean",800.0,"ANT",null,"2020-03-13T21:53:52.000Z",null,"33"
"Asia",37966.0,"Emirate Federation","Zayid bin Sultan al-Nahayan",1971,74.1,"Al-Imarat al-�Arabiya al-Muttahida","United Arab Emirates",2441000.0,"Middle East",83600.0,"ARE",null,"2020-03-13T21:53:52.000Z",null,"65"
"South America",340238.0,"Federal Republic","Fernando de la R̼a",1816,75.1,"Argentina","Argentina",3.7032E7,"South America",2780400.0,"ARG",null,"2020-03-13T21:53:52.000Z",null,"69"
"Asia",1813.0,"Republic","Robert Kot��arjan",1991,66.4,"Hajastan","Armenia",3520000.0,"Middle East",29800.0,"ARM",null,"2020-03-13T21:53:52.000Z",null,"126"
"Oceania",334.0,"US Territory","George W. Bush",null,75.1,"Amerika Samoa","American Samoa",68000.0,"Polynesia",199.0,"ASM",null,"2020-03-13T21:53:52.000Z",null,"54"
"North America",612.0,"Constitutional Monarchy","Elisabeth II",1981,70.5,"Antigua and Barbuda","Antigua and Barbuda",68000.0,"Caribbean",442.0,"ATG",null,"2020-03-13T21:53:52.000Z",null,"63"
"Oceania",351182.0,"Constitutional Monarchy, Federation","Elisabeth II",1901,79.8,"Australia","Australia",1.8886E7,"Australia and New Zealand",7741220.0,"AUS",null,"2020-03-13T21:53:52.000Z",null,"135"
"Europe",211860.0,"Federal Republic","Thomas Klestil",1918,77.7,"��sterreich","Austria",8091800.0,"Western Europe",83859.0,"AUT",null,"2020-03-13T21:53:52.000Z",null,null
"Asia",4127.0,"Federal Republic","Heyd�_r ��liyev",1991,62.9,"Az�_rbaycan","Azerbaijan",7734000.0,"Middle East",86600.0,"AZE",null,"2020-03-13T21:53:52.000Z",null,"144"
"Africa",903.0,"Republic","Pierre Buyoya",1962,46.2,"Burundi/Uburundi","Burundi",6695000.0,"Eastern Africa",27834.0,"BDI",null,"2020-03-13T21:53:52.000Z",null,"552"
"Europe",249704.0,"Constitutional Monarchy, Federation","Albert II",1830,77.8,"Belgi��/Belgique","Belgium",1.0239E7,"Western Europe",30518.0,"BEL",null,"2020-03-13T21:53:52.000Z",null,null
"Africa",2357.0,"Republic","Mathieu K̩r̩kou",1960,50.2,"B̩nin","Benin",6097000.0,"Western Africa",112622.0,"BEN",null,"2020-03-13T21:53:52.000Z",null,"187"
