"IsOfficial({""constraints"":[],""type"":""BOOLEAN"",""dataSize"":1})","Language({""constraints"":[],""type"":""STRING"",""dataSize"":50,""dataSizeAuto"":false})","Percentage({""constraints"":[],""type"":""DOUBLE""})","objectId({""constraints"":[],""type"":""STRING_ID"",""dataSize"":36})","ownerId({""constraints"":[],""type"":""STRING"",""dataSize"":36,""dataSizeAuto"":true})","created({""constraints"":[],""type"":""DATETIME""})","updated({""constraints"":[],""type"":""DATETIME""})","Country({""constraints"":[],""type"":""RELATION"",""autoLoad"":false,""relatedTable"":""Country""})"
false,"Ovimbundu",37.2,"000659AB-CE92-4366-9657-BDBA9CD84BC2",null,"2020-03-13T21:53:59.000Z",null,"AGO"
false,"Bicol",5.7,"003B7A6F-0F38-4142-9CDD-3100DAC30684",null,"2020-03-13T21:53:59.000Z",null,"PHL"
false,"Chamorro",30.0,"0136A654-9412-4728-8033-25D9294A5211",null,"2020-03-13T21:53:59.000Z",null,"MNP"
false,"Mbete",13.8,"01DFECDB-5CDE-4C04-B1D0-D79E731EC98F",null,"2020-03-13T21:53:59.000Z",null,"GAB"
true,"Arabic",65.0,"01F77F77-E189-444B-A779-CCFA49802AA2",null,"2020-03-13T21:53:59.000Z",null,"MAR"
true,"English",0.0,"031DDCE6-8AC1-47F5-B963-C9045B6301B4",null,"2020-03-13T21:53:59.000Z",null,"TKL"
true,"Arabic",99.6,"034C0CDE-2F28-4C71-841D-B7834FB1BC6D",null,"2020-03-13T21:53:59.000Z",null,"YEM"
false,"Maya Languages",9.6,"03A1CAEF-4454-4773-9B88-5BDA96DCE212",null,"2020-03-13T21:53:59.000Z",null,"BLZ"
false,"Balochi",3.0,"03BC1F39-C2DA-49D9-A2CD-9F0C1595C2C3",null,"2020-03-13T21:53:59.000Z",null,"PAK"
true,"Romansh",0.6,"03F0DEAD-8139-4BC2-A5F2-2C80DEF3C4EF",null,"2020-03-13T21:53:59.000Z",null,"CHE"
false,"Adja",11.1,"044A9F0E-966B-468A-B12E-407C2CABE960",null,"2020-03-13T21:53:59.000Z",null,"BEN"
false,"Ful",16.6,"053E353E-8168-4610-B4C0-392333D01BB4",null,"2020-03-13T21:53:59.000Z",null,"GNB"
false,"Ukrainian and Russian",0.6,"05CDD8B3-DD9D-43EC-AF46-9CC012D9B054",null,"2020-03-13T21:53:59.000Z",null,"SVK"
false,"Crioulo",100.0,"060723BC-F860-41AF-8C3C-4E14D9A8C472",null,"2020-03-13T21:53:59.000Z",null,"CPV"
true,"English",3.8,"061CBD94-EB43-48E9-8665-407C5A1A043D",null,"2020-03-13T21:53:59.000Z",null,"SYC"
false,"Mazandarani",3.6,"064ACFD1-CB42-470B-99F8-B04D4574DF5D",null,"2020-03-13T21:53:59.000Z",null,"IRN"
true,"Guaraní",40.1,"068472B6-7907-4686-9516-F56BB27ED94E",null,"2020-03-13T21:53:59.000Z",null,"PRY"
false,"Temne",31.8,"06862A7B-606B-4318-8DB5-331C24292F5F",null,"2020-03-13T21:53:59.000Z",null,"SLE"
false,"Russian",0.0,"073895F7-15A1-4724-AE4D-7BC239E73083",null,"2020-03-13T21:53:59.000Z",null,"SJM"
false,"Papuan Languages",8.6,"076277C6-590F-4E8D-92FE-A50FAC89CFB6",null,"2020-03-13T21:53:59.000Z",null,"SLB"
false,"Yalunka",3.4,"08176604-4A20-467B-AC4E-FAED1E37FF9A",null,"2020-03-13T21:53:59.000Z",null,"SLE"
false,"Korean",6.5,"08274CFF-3EF7-4FB0-B3BA-F18083854881",null,"2020-03-13T21:53:59.000Z",null,"MNP"
false,"Bugi",2.2,"083E69A9-7D3A-44B7-93A6-984B866AE6E8",null,"2020-03-13T21:53:59.000Z",null,"IDN"
false,"Zulu",15.0,"0854E477-9B46-4DDE-BE7A-93D192FBA3F6",null,"2020-03-13T21:53:59.000Z",null,"LSO"
false,"French",0.5,"088D073F-E2CD-4763-BA45-0C46D08BF39A",null,"2020-03-13T21:53:59.000Z",null,"ITA"
false,"Malenasian Languages",45.4,"08BE4C91-BF54-4883-B168-61407F4F50A4",null,"2020-03-13T21:53:59.000Z",null,"NCL"
false,"Bhojpuri",21.1,"09181AD8-DB1C-4CAA-A31E-34F4978DB88B",null,"2020-03-13T21:53:59.000Z",null,"MUS"
false,"Creole French",0.0,"09F4C4AE-611F-45F8-BD0F-42D1C8210AAA",null,"2020-03-13T21:53:59.000Z",null,"DMA"
false,"Afar",34.8,"0A0D885F-4578-4359-8E08-2DB0B249C424",null,"2020-03-13T21:53:59.000Z",null,"DJI"
false,"Chinese",3.1,"0A283EE7-33D5-459D-82DE-EF542ABD8A65",null,"2020-03-13T21:53:59.000Z",null,"KHM"
true,"Mongolian",78.8,"0A2AA645-F478-4F41-B7E6-AC055B56E579",null,"2020-03-13T21:53:59.000Z",null,"MNG"
false,"Karen",6.2,"0A4C9F1E-EE0A-4821-9D96-CCAF62BBE62C",null,"2020-03-13T21:53:59.000Z",null,"MMR"
true,"Spanish",97.5,"0A7A0858-24E3-486A-BB8B-C9B53EF7A178",null,"2020-03-13T21:53:59.000Z",null,"CRI"
true,"Arabic",90.0,"0AE45A2D-D69A-4156-A9B0-E41D18339EB2",null,"2020-03-13T21:53:59.000Z",null,"SYR"
true,"Spanish",89.7,"0B124A29-ACCC-4529-9D12-B9E22EFC4C0C",null,"2020-03-13T21:53:59.000Z",null,"CHL"
false,"Belorussian",4.1,"0B3B43A2-9536-4AD2-8E17-AA038152645D",null,"2020-03-13T21:53:59.000Z",null,"LVA"
false,"Paiwan",0.3,"0B7DC2C0-A956-44F6-9593-A5BF216A30AD",null,"2020-03-13T21:53:59.000Z",null,"TWN"
true,"Dutch",59.2,"0BA0BF18-AC27-4F3A-8FB1-5DF63D3A06BB",null,"2020-03-13T21:53:59.000Z",null,"BEL"
false,"Spanish",0.6,"0BF45E6D-008A-4EF5-B36C-0FBD9545760C",null,"2020-03-13T21:53:59.000Z",null,"SWE"
false,"Japanese",0.2,"0C0152D7-19CB-424C-BF18-05E98002727F",null,"2020-03-13T21:53:59.000Z",null,"USA"
false,"Zulu",2.0,"0C95FF04-ADC7-490B-9D8C-E802E7016774",null,"2020-03-13T21:53:59.000Z",null,"SWZ"
false,"Hungarian",0.2,"0CB2D9EF-6D97-476B-BC6E-01C7EAFCE091",null,"2020-03-13T21:53:59.000Z",null,"CZE"
true,"French",1.3,"0CCF8C87-2796-4993-A051-82CE57F8F0DF",null,"2020-03-13T21:53:59.000Z",null,"SYC"
false,"Mbete",4.8,"0CE77370-0E6E-4F46-A813-D1B87DAFF881",null,"2020-03-13T21:53:59.000Z",null,"COG"
true,"Portuguese",8.1,"0D7616D0-EEFF-4EDF-9B25-8BF367D90E58",null,"2020-03-13T21:53:59.000Z",null,"GNB"
true,"English",98.4,"0DA7D970-EFA7-4A13-92FA-E5D8A92C6C4E",null,"2020-03-13T21:53:59.000Z",null,"IRL"
false,"Tsonga",12.4,"0DA8E09E-04B4-4370-8C15-20A8269A2CAA",null,"2020-03-13T21:53:59.000Z",null,"MOZ"
true,"Spanish",100.0,"0DAAC927-17F9-4DA5-8710-C596CD8B9B15",null,"2020-03-13T21:53:59.000Z",null,"CUB"
